Format Version,1.23,Take Name,Take 2023-03-21 11.52.33 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 11.52.33.914 A.M.,Capture Start Frame,8546461,Total Frames in Take,1907,Total Exported Frames,1907,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
207,1.725000,-179.954987,2.313662,-178.938293,-2194.281738,125.892563,14.003859
208,1.733333,-179.964508,2.327483,-178.942932,-2194.259277,125.884010,14.007007
209,1.741667,-179.954224,2.313416,-178.943726,-2194.277832,125.902069,13.998791
210,1.750000,-179.963272,2.326988,-178.944214,-2194.255371,125.887154,13.996868
211,1.758333,-179.961578,2.323891,-178.944702,-2194.254395,125.884995,13.997902
212,1.766667,-179.967804,2.326090,-178.942291,-2194.253418,125.888809,14.000276
213,1.775000,-179.956314,2.316074,-178.938370,-2194.277832,125.891357,14.005198
214,1.783333,-179.962860,2.323240,-178.947189,-2194.259521,125.882759,13.996997
215,1.791667,-179.952911,2.315710,-178.934601,-2194.276611,125.901314,13.996764
216,1.800000,-179.956070,2.314493,-178.933853,-2194.275391,125.902176,14.004177
217,1.808333,-179.952240,2.313938,-178.932983,-2194.272461,125.897545,14.003258
218,1.816667,-179.961319,2.325129,-178.945679,-2194.260010,125.879509,13.993715
219,1.825000,-179.955582,2.326467,-178.943985,-2194.256836,125.878822,13.993357
220,1.833333,-179.954132,2.312175,-178.932892,-2194.281006,125.901253,13.998115
221,1.841667,-179.961914,2.326106,-178.945847,-2194.256592,125.887604,14.005248
