Format Version,1.23,Take Name,Take 2023-03-16 11.51.58 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 11.51.58.483 A.M.,Capture Start Frame,7031220,Total Frames in Take,2479,Total Exported Frames,2479,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
112,0.933333,,,,,,,,,,,,,1.318590,-0.288741,0.318280,-19.890303,101.664619,-20.766512
113,0.941667,,,,,,,,,,,,,1.322651,-0.280817,0.329501,-19.882753,101.661385,-20.773407
114,0.950000,,,,,,,,,,,,,1.305889,-0.290479,0.319336,-19.887447,101.649780,-20.767284
115,0.958333,,,,,,,,,,,,,1.295017,-0.287885,0.325273,-19.888063,101.674904,-20.789604
116,0.966667,,,,,,,,,,,,,1.299591,-0.285279,0.322754,-19.884987,101.666916,-20.768709
117,0.975000,,,,,,,,,,,,,1.299382,-0.283698,0.327942,-19.886353,101.668648,-20.784739
118,0.983333,,,,,,,,,,,,,1.314502,-0.285832,0.327108,-19.890570,101.664604,-20.782427
119,0.991667,,,,,,,,,,,,,1.297652,-0.291899,0.313972,-19.885752,101.675522,-20.799459
120,1.000000,,,,,,,,,,,,,1.308577,-0.288137,0.318573,-19.888908,101.681114,-20.784435
121,1.008333,,,,,,,,,,,,,1.304959,-0.288464,0.321492,-19.889769,101.687889,-20.791086
122,1.016667,,,,,,,,,,,,,1.305941,-0.291453,0.308571,-19.880381,101.651161,-20.774063
123,1.025000,,,,,,,,,,,,,1.313493,-0.295133,0.307715,-19.889250,101.670547,-20.777378
124,1.033333,,,,,,,,,,,,,1.302339,-0.275376,0.317768,-19.877201,101.666740,-20.785904
125,1.041667,,,,,,,,,,,,,1.309730,-0.290474,0.322313,-19.885628,101.679459,-20.789597
126,1.050000,,,,,,,,,,,,,1.319606,-0.282633,0.324899,-19.885347,101.686821,-20.785595
127,1.058333,,,,,,,,,,,,,1.364944,-0.238783,0.393332,-19.896116,101.588058,-20.687639
128,1.066667,,,,,,,,,,,,,1.312031,-0.289582,0.315348,-19.889536,101.670540,-20.775393
129,1.075000,,,,,,,,,,,,,1.321864,-0.288571,0.314055,-19.887154,101.668198,-20.771502
